wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
32370,,,4.21E-05
32380,,,4.20E-05
32390,,,4.20E-05
32400,,,4.20E-05
32410,,,4.19E-05
32420,,,4.19E-05
32430,,,4.18E-05
32440,,,4.18E-05
32450,,,4.17E-05
32460,,,4.17E-05
32470,,,4.17E-05
32480,,,4.16E-05
32490,,,4.16E-05
32500,,,4.15E-05
32510,,,4.15E-05
32520,,,4.15E-05
32530,,,4.14E-05
32540,,,4.14E-05
32550,,,4.13E-05
32560,,,4.13E-05
32570,,,4.12E-05
32580,,,4.12E-05
32590,,,4.12E-05
32600,,,4.11E-05
32610,,,4.11E-05
32620,,,4.10E-05
32630,,,4.10E-05
32640,,,4.10E-05
32650,,,4.09E-05
32660,,,4.09E-05
32670,,,4.08E-05
32680,,,4.08E-05
32690,,,4.07E-05
32700,,,4.07E-05
32710,,,4.07E-05
32720,,,4.06E-05
32730,,,4.06E-05
32740,,,4.05E-05
32750,,,4.05E-05
32760,,,4.05E-05
32770,,,4.04E-05
32780,,,4.04E-05
32790,,,4.03E-05
32800,,,4.03E-05
32810,,,4.03E-05
32820,,,4.02E-05
32830,,,4.02E-05
32840,,,4.01E-05
32850,,,4.01E-05
32860,,,4.01E-05
32870,,,4.00E-05
32880,,,4.00E-05
32890,,,3.99E-05
32900,,,3.99E-05
32910,,,3.99E-05
32920,,,3.98E-05
32930,,,3.98E-05
32940,,,3.97E-05
32950,,,3.97E-05
32960,,,3.97E-05
32970,,,3.96E-05
32980,,,3.96E-05
32990,,,3.95E-05
33000,,,3.95E-05
33010,,,3.95E-05
33020,,,3.94E-05
33030,,,3.94E-05
33040,,,3.93E-05
33050,,,3.93E-05
33060,,,3.93E-05
33070,,,3.92E-05
33080,,,3.92E-05
33090,,,3.91E-05
33100,,,3.91E-05
33110,,,3.91E-05
33120,,,3.90E-05
33130,,,3.90E-05
33140,,,3.89E-05
33150,,,3.89E-05
33160,,,3.89E-05
33170,,,3.88E-05
33180,,,3.88E-05
33190,,,3.88E-05
33200,,,3.87E-05
33210,,,3.87E-05
33220,,,3.86E-05
33230,,,3.86E-05
33240,,,3.86E-05
33250,,,3.85E-05
33260,,,3.85E-05
33270,,,3.84E-05
33280,,,3.84E-05
33290,,,3.84E-05
33300,,,3.83E-05
33310,,,3.83E-05
33320,,,3.83E-05
33330,,,3.82E-05
33340,,,3.82E-05
33350,,,3.81E-05
33360,,,3.81E-05
33370,,,3.81E-05
33380,,,3.80E-05
33390,,,3.80E-05
33400,,,3.80E-05
33410,,,3.79E-05
33420,,,3.79E-05
33430,,,3.78E-05
33440,,,3.78E-05
